"Name","Address","City","Zip","lat","lon","Cuisines","Rating","Votes","Price","url"
"Nicky's Thai Kitchen","903 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.443983","-79.998256","Thai, Seafood, Desserts","4.0","500","$$","https://www.yelp.com/biz/nickys-thai-kitchen-pittsburgh-4?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Legume","214 N Craig St,Pittsburgh, PA 15213","Pittsburgh","15213","40.45039","-79.95086","French, American (Traditional), Soul Food","4.5","348","$$$","https://www.yelp.com/biz/legume-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Everyday Noodles","5875 Forbes Ave,Pittsburgh, PA 15217","Pittsburgh","15217","40.438262","-79.920082","Chinese, Noodles","4.0","522","$$","https://www.yelp.com/biz/everyday-noodles-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Sienna Mercato","942 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.4439496","-79.9964366","Italian, Pizza, Bars","4.0","668","$$","https://www.yelp.com/biz/sienna-mercato-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Primanti Bros.","46 18th St,Pittsburgh, PA 15222","Pittsburgh","15222","40.4507064819336","-79.9855880737305","Sandwiches, American (New), Sports Bars","3.5","1124","$","https://www.yelp.com/biz/primanti-bros-pittsburgh-15?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Piper's Pub","1828 E Carson St,Pittsburgh, PA 15203","Pittsburgh","15203","40.4284324645996","-79.9794692993164","British, Irish, Pubs","4.5","328","$$","https://www.yelp.com/biz/pipers-pub-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"The Dor-Stop Restaurant","1430 Potomac Ave,Pittsburgh, PA 15216","Pittsburgh","15216","40.39601","-80.03473","Breakfast & Brunch, Diners","4.5","356","$","https://www.yelp.com/biz/the-dor-stop-restaurant-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Church Brew Works","3525 Liberty Ave,Pittsburgh, PA 15201","Pittsburgh","15201","40.46244","-79.9644","Bars, American (Traditional)","3.5","930","$$","https://www.yelp.com/biz/church-brew-works-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Millie's Homemade Ice Cream","232 S Highland Ave,Pittsburgh, PA 15206","Pittsburgh","15206","40.4578599","-79.9254799","Ice Cream & Frozen Yogurt, Sandwiches","4.5","241","$","https://www.yelp.com/biz/millies-homemade-ice-cream-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Banh Mi & Ti","4502 Butler St,Pittsburgh, PA 15201","Pittsburgh","15201","40.472145273083","-79.9589364429569","Vietnamese, Cafes, Bubble Tea","4.5","177","$","https://www.yelp.com/biz/banh-mi-and-ti-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Hofbrauhaus Pittsburgh","2705 S Water St,Pittsburgh, PA 15203","Pittsburgh","15203","40.428768","-79.964499","German, Pubs","4.0","585","$$","https://www.yelp.com/biz/hofbrauhaus-pittsburgh-pittsburgh-3?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Smiling Banana Leaf","5901 Bryant St,Pittsburgh, PA 15206","Pittsburgh","15206","40.47591","-79.91954","Thai","4.0","413","$$","https://www.yelp.com/biz/smiling-banana-leaf-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Waffallonia","1709 Murray Ave,Pittsburgh, PA 15217","Pittsburgh","15217","40.43769","-79.92283","Ice Cream & Frozen Yogurt, Waffles, Coffee & Tea","4.5","267","$","https://www.yelp.com/biz/waffallonia-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Nicky's Thai Kitchen","856 Western Ave,Pittsburgh, PA 15233","Pittsburgh","15233","40.45226","-80.01628","Thai","4.0","368","$$","https://www.yelp.com/biz/nickys-thai-kitchen-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Winghart's Burger & Whiskey Bar","5 Market Sq,Pittsburgh, PA 15222","Pittsburgh","15222","40.44014","-80.0024","Burgers, Pizza, Whiskey Bars","4.0","461","$$","https://www.yelp.com/biz/wingharts-burger-and-whiskey-bar-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Monterey Bay Fish Grotto","1411 Grandview Ave,Pittsburgh, PA 15211","Pittsburgh","15211","40.439059","-80.021242","Seafood, Wine Bars, Cocktail Bars","4.0","366","$$$","https://www.yelp.com/biz/monterey-bay-fish-grotto-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Deluca's Diner","2015 Penn Ave,Pittsburgh, PA 15222","Pittsburgh","15222","40.45154","-79.98375","Breakfast & Brunch, American (Traditional), Diners","4.0","504","$","https://www.yelp.com/biz/delucas-diner-pittsburgh-2?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
"Las Palmas Carniceria","700 Brookline Blvd,Pittsburgh, PA 15226","Pittsburgh","15226","40.3945960998535","-80.0216827392578","Mexican","4.5","202","$","https://www.yelp.com/biz/las-palmas-carniceria-pittsburgh?adjust_creative=ABuKxf8BS5eWket5NECSJA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ABuKxf8BS5eWket5NECSJA"
