Name,Rating,Review_Count,Price,Cuisine,Latitude,Longitude,Street,City,Zip
Mercurio's,4.0,284,$$,Pizza,40.45165,-79.93299,5523 Walnut St,Pittsburgh, PA 15232
Fiori's Pizzaria,4.5,262,$,Pizza,40.405245,-80.018538,103 Capital Ave,Pittsburgh, PA 15226
Morcilla,4.5,214,$$$,Spanish,40.4645572158093,-79.9661576054382,3519 Butler St,Pittsburgh, PA 15201
Luke Wholey's Wild Alaskan Grille,4.0,338,$$,Seafood,40.4519212353498,-79.9828073229609,2106 Penn Ave,Pittsburgh, PA 15222
Park Bruges,4.0,259,$$,Belgian,40.47617,-79.92055,5801 Bryant St,Pittsburgh, PA 15206
S&D Polish Deli,4.5,173,$,Polish,40.4523578,-79.9820206,2204 Penn Ave,Pittsburgh, PA 15222
Robert Wholey and Co Fish Market,4.0,204,$$,Grocery,40.450111,-79.9858749,1711 Penn Ave,Pittsburgh, PA 15222
The Commoner,4.0,396,$$,American (New),40.4416755558876,-79.9962055881847,458 Strawberry Way,Pittsburgh, PA 15219
Alla Famiglia,4.5,170,$$$$,Italian,40.42161,-79.99346,804 E Warrington Ave,Pittsburgh, PA 15210
The Porch at Schenley,3.5,519,$$,Sandwiches,40.442777,-79.953151,221 Schenley Dr,Schenley Plz,Pittsburgh, PA 15213
Waffles Incaffeinated,3.5,396,$$,Breakfast & Brunch,40.42788,-79.9693,2517 E Carson St,Pittsburgh, PA 15203
P&G's Pamela's Diner,4.0,260,$,Breakfast & Brunch,40.4515828357537,-79.9328698390366,5527 Walnut St,Pittsburgh, PA 15232
La Palapa, Mexican Gourmet Kitchen,4.5,173,$$,Mexican,40.42889,-79.97809,1925 E Carson St,Pittsburgh, PA 15203
Primanti Bros,3.5,608,$,Sandwiches,40.440287,-80.002585,2 S Market Sq,Pittsburgh, PA 15222
The Capital Grille,4.0,237,$$$$,Steakhouses,40.4407195879422,-80.0000391542347,301 5th Ave,Pittsburgh, PA 15222
Soba,4.0,285,$$$,Asian Fusion,40.45713,-79.92961,5847 Ellsworth Ave,Pittsburgh, PA 15232
Tessaro's,4.0,356,$$,Steakhouses,40.46278,-79.95064,4601 Liberty Ave,Pittsburgh, PA 15224
Bar Marco,4.0,254,$$,Wine Bars,40.45248,-79.98155,2216 Penn Ave,Pittsburgh, PA 15222
Pork & Beans,4.0,260,$$,Smokehouse,40.4430332882836,-80.0024601607132,136 6th St,Pittsburgh, PA 15222
NOLA,3.5,453,$$,Cajun/Creole,40.44118,-80.00304,24 Market Sq,Pittsburgh, PA 15222
The Zenith,4.0,171,$$,Vegetarian,40.426803,-79.968973,86 S 26th St,Pittsburgh, PA 15203
Avenue B,4.0,226,$$$,American (New),40.4568557739258,-79.9364318847656,5501 Centre Ave,Pittsburgh, PA 15232
Salem's Market & Grill,4.5,160,$,Meat Shops,40.45843,-79.9737899,2923 Penn Ave,Pittsburgh, PA 15201
